Orthogroup	Cyanothece_ATCC51142	Gloeobacter_PCC7421	Microcystis_PCC7806	Prochlorococcus_CCMP1375	Synechococcus_PCC7942	Synechocystis_PCC6803	Thermosynechococcus_BP1	Trichodesmium_IMS101
OG0000621	NC_008785.1_2384	NC_005125.1_1970	NC_009662.1_808	NC_008740.1_1757	NC_017382.1_726	NC_000911.1_1392	NC_010617.1_1323	NC_008048.1_1762
OG0000622	NC_008785.1_2391	NC_005125.1_130	NC_009662.1_436	NC_008740.1_3502	NC_017382.1_1381	NC_000911.1_265	NC_010617.1_1402	NC_008048.1_3207
OG0000625	NC_008785.1_2410	NC_005125.1_2393	NC_009662.1_893	NC_008740.1_2800	NC_017382.1_686	NC_000911.1_1813	NC_010617.1_786	NC_008048.1_842
OG0000626	NC_008785.1_2411	NC_005125.1_1563	NC_009662.1_1333	NC_008740.1_2799	NC_017382.1_515	NC_000911.1_1064	NC_010617.1_785	NC_008048.1_841
OG0000627	NC_008785.1_2412	NC_005125.1_3347	NC_009662.1_1221	NC_008740.1_2798	NC_017382.1_930	NC_000911.1_2951	NC_010617.1_784	NC_008048.1_840
OG0000630	NC_008785.1_2429	NC_005125.1_1873	NC_009662.1_1280	NC_008740.1_45	NC_017382.1_1081	NC_000911.1_2442	NC_010617.1_1135	NC_008048.1_251
OG0000631	NC_008785.1_2431	NC_005125.1_1801	NC_009662.1_1205	NC_008740.1_48	NC_017382.1_342	NC_000911.1_827	NC_010617.1_1044	NC_008048.1_1209
OG0000632	NC_008785.1_2461	NC_005125.1_2278	NC_009662.1_917	NC_008740.1_3987	NC_017382.1_1347	NC_000911.1_1745	NC_010617.1_2311	NC_008048.1_4
OG0000633	NC_008785.1_2462	NC_005125.1_1954	NC_009662.1_916	NC_008740.1_3988	NC_017382.1_1346	NC_000911.1_2586	NC_010617.1_2312	NC_008048.1_5
OG0000634	NC_008785.1_2465	NC_005125.1_1508	NC_009662.1_1	NC_008740.1_1	NC_017382.1_1435	NC_000911.1_1277	NC_010617.1_1	NC_008048.1_1
OG0000635	NC_008785.1_2466	NC_005125.1_3298	NC_009662.1_2	NC_008740.1_2	NC_017382.1_837	NC_000911.1_305	NC_010617.1_2	NC_008048.1_704
OG0000637	NC_008785.1_2530	NC_005125.1_837	NC_009662.1_108	NC_008740.1_509	NC_017382.1_775	NC_000911.1_3219	NC_010617.1_1546	NC_008048.1_2753
OG0000639	NC_008785.1_2644	NC_005125.1_456	NC_009662.1_1148	NC_008740.1_3965	NC_017382.1_661	NC_000911.1_3019	NC_010617.1_1687	NC_008048.1_1376
OG0000640	NC_008785.1_2666	NC_005125.1_4410	NC_009662.1_1719	NC_008740.1_2825	NC_017382.1_1303	NC_000911.1_1042	NC_010617.1_236	NC_008048.1_1223
OG0000641	NC_008785.1_2667	NC_005125.1_3580	NC_009662.1_389	NC_008740.1_2822	NC_017382.1_1296	NC_000911.1_2757	NC_010617.1_239	NC_008048.1_1482
OG0000644	NC_008785.1_2719	NC_005125.1_4442	NC_009662.1_370	NC_008740.1_3666	NC_017382.1_170	NC_000911.1_1558	NC_010617.1_827	NC_008048.1_2760
OG0000645	NC_008785.1_2722	NC_005125.1_3641	NC_009662.1_259	NC_008740.1_765	NC_017382.1_1228	NC_000911.1_776	NC_010617.1_624	NC_008048.1_564
OG0000646	NC_008785.1_2723	NC_005125.1_3642	NC_009662.1_258	NC_008740.1_764	NC_017382.1_1229	NC_000911.1_777	NC_010617.1_623	NC_008048.1_565
OG0000647	NC_008785.1_2724	NC_005125.1_3643	NC_009662.1_257	NC_008740.1_763	NC_017382.1_1230	NC_000911.1_2445	NC_010617.1_1316	NC_008048.1_787
OG0000648	NC_008785.1_2725	NC_005125.1_3644	NC_009662.1_256	NC_008740.1_762	NC_017382.1_1231	NC_000911.1_778	NC_010617.1_622	NC_008048.1_566
OG0000649	NC_008785.1_2726	NC_005125.1_3645	NC_009662.1_255	NC_008740.1_761	NC_017382.1_1232	NC_000911.1_779	NC_010617.1_621	NC_008048.1_567
OG0000650	NC_008785.1_2727	NC_005125.1_426	NC_009662.1_254	NC_008740.1_1808	NC_017382.1_1234	NC_000911.1_780	NC_010617.1_619	NC_008048.1_1925
OG0000651	NC_008785.1_2728	NC_005125.1_1427	NC_009662.1_252	NC_008740.1_760	NC_017382.1_1236	NC_000911.1_782	NC_010617.1_615	NC_008048.1_2823
OG0000652	NC_008785.1_2729	NC_005125.1_3985	NC_009662.1_251	NC_008740.1_759	NC_017382.1_1237	NC_000911.1_783	NC_010617.1_614	NC_008048.1_2824
OG0000653	NC_008785.1_2731	NC_005125.1_3986	NC_009662.1_250	NC_008740.1_757	NC_017382.1_1238	NC_000911.1_784	NC_010617.1_612	NC_008048.1_2826
OG0000654	NC_008785.1_2732	NC_005125.1_3987	NC_009662.1_249	NC_008740.1_756	NC_017382.1_1239	NC_000911.1_785	NC_010617.1_611	NC_008048.1_2827
OG0000655	NC_008785.1_2733	NC_005125.1_3988	NC_009662.1_248	NC_008740.1_755	NC_017382.1_1240	NC_000911.1_786	NC_010617.1_610	NC_008048.1_2828
OG0000656	NC_008785.1_2734	NC_005125.1_3989	NC_009662.1_247	NC_008740.1_754	NC_017382.1_1241	NC_000911.1_787	NC_010617.1_609	NC_008048.1_2829
OG0000657	NC_008785.1_2736	NC_005125.1_3991	NC_009662.1_245	NC_008740.1_752	NC_017382.1_1242	NC_000911.1_788	NC_010617.1_608	NC_008048.1_2831
OG0000658	NC_008785.1_2737	NC_005125.1_3992	NC_009662.1_244	NC_008740.1_751	NC_017382.1_1243	NC_000911.1_789	NC_010617.1_607	NC_008048.1_2832
OG0000659	NC_008785.1_2738	NC_005125.1_3993	NC_009662.1_243	NC_008740.1_750	NC_017382.1_1244	NC_000911.1_790	NC_010617.1_606	NC_008048.1_2833
OG0000660	NC_008785.1_2739	NC_005125.1_3994	NC_009662.1_242	NC_008740.1_749	NC_017382.1_1245	NC_000911.1_791	NC_010617.1_605	NC_008048.1_2834
OG0000661	NC_008785.1_2740	NC_005125.1_3995	NC_009662.1_241	NC_008740.1_748	NC_017382.1_1246	NC_000911.1_792	NC_010617.1_604	NC_008048.1_2835
OG0000662	NC_008785.1_2741	NC_005125.1_3996	NC_009662.1_240	NC_008740.1_747	NC_017382.1_1247	NC_000911.1_793	NC_010617.1_603	NC_008048.1_2836
OG0000663	NC_008785.1_2742	NC_005125.1_3997	NC_009662.1_239	NC_008740.1_746	NC_017382.1_1248	NC_000911.1_794	NC_010617.1_602	NC_008048.1_2837
OG0000664	NC_008785.1_2743	NC_005125.1_3998	NC_009662.1_238	NC_008740.1_745	NC_017382.1_1249	NC_000911.1_795	NC_010617.1_601	NC_008048.1_2838
OG0000665	NC_008785.1_2744	NC_005125.1_929	NC_009662.1_237	NC_008740.1_744	NC_017382.1_1250	NC_000911.1_796	NC_010617.1_600	NC_008048.1_2839
OG0000666	NC_008785.1_2745	NC_005125.1_928	NC_009662.1_236	NC_008740.1_743	NC_017382.1_1251	NC_000911.1_797	NC_010617.1_599	NC_008048.1_2840
OG0000667	NC_008785.1_2746	NC_005125.1_91	NC_009662.1_235	NC_008740.1_742	NC_017382.1_1252	NC_000911.1_798	NC_010617.1_598	NC_008048.1_2841
OG0000668	NC_008785.1_2747	NC_005125.1_90	NC_009662.1_234	NC_008740.1_741	NC_017382.1_1253	NC_000911.1_799	NC_010617.1_597	NC_008048.1_2842
OG0000669	NC_008785.1_2748	NC_005125.1_89	NC_009662.1_233	NC_008740.1_740	NC_017382.1_1254	NC_000911.1_800	NC_010617.1_596	NC_008048.1_2843
OG0000670	NC_008785.1_2749	NC_005125.1_4005	NC_009662.1_232	NC_008740.1_739	NC_017382.1_1255	NC_000911.1_1824	NC_010617.1_595	NC_008048.1_2844
OG0000671	NC_008785.1_2752	NC_005125.1_4002	NC_009662.1_280	NC_008740.1_736	NC_017382.1_1136	NC_000911.1_1827	NC_010617.1_592	NC_008048.1_2847
OG0000672	NC_008785.1_2753	NC_005125.1_4001	NC_009662.1_279	NC_008740.1_735	NC_017382.1_1137	NC_000911.1_1828	NC_010617.1_591	NC_008048.1_2848
OG0000673	NC_008785.1_2756	NC_005125.1_4357	NC_009662.1_278	NC_008740.1_734	NC_017382.1_1138	NC_000911.1_1768	NC_010617.1_582	NC_008048.1_1493
OG0000674	NC_008785.1_2758	NC_005125.1_1639	NC_009662.1_276	NC_008740.1_732	NC_017382.1_1139	NC_000911.1_870	NC_010617.1_577	NC_008048.1_1710
OG0000675	NC_008785.1_2759	NC_005125.1_1638	NC_009662.1_275	NC_008740.1_731	NC_017382.1_1140	NC_000911.1_871	NC_010617.1_576	NC_008048.1_1711
OG0000676	NC_008785.1_2760	NC_005125.1_1637	NC_009662.1_274	NC_008740.1_730	NC_017382.1_1141	NC_000911.1_872	NC_010617.1_567	NC_008048.1_1450
OG0000677	NC_008785.1_2761	NC_005125.1_1636	NC_009662.1_273	NC_008740.1_729	NC_017382.1_1142	NC_000911.1_873	NC_010617.1_566	NC_008048.1_1451
OG0000678	NC_008785.1_2762	NC_005125.1_852	NC_009662.1_272	NC_008740.1_728	NC_017382.1_1143	NC_000911.1_874	NC_010617.1_565	NC_008048.1_1453
OG0000679	NC_008785.1_2779	NC_005125.1_2564	NC_009662.1_1125	NC_008740.1_854	NC_017382.1_293	NC_000911.1_1560	NC_010617.1_1307	NC_008048.1_1810
OG0000682	NC_008785.1_2821	NC_005125.1_1953	NC_009662.1_1191	NC_008740.1_3509	NC_017382.1_389	NC_000911.1_2368	NC_010617.1_1346	NC_008048.1_1145
OG0000685	NC_008785.1_2901	NC_005125.1_26	NC_009662.1_346	NC_008740.1_844	NC_017382.1_1009	NC_000911.1_2010	NC_010617.1_1292	NC_008048.1_2298
OG0000686	NC_008785.1_2902	NC_005125.1_3952	NC_009662.1_509	NC_008740.1_858	NC_017382.1_737	NC_000911.1_2985	NC_010617.1_821	NC_008048.1_2868
OG0000687	NC_008785.1_2906	NC_005125.1_2616	NC_009662.1_1270	NC_008740.1_3966	NC_017382.1_1071	NC_000911.1_1583	NC_010617.1_956	NC_008048.1_2309
OG0000688	NC_008785.1_2907	NC_005125.1_2618	NC_009662.1_1271	NC_008740.1_3967	NC_017382.1_1072	NC_000911.1_1582	NC_010617.1_955	NC_008048.1_2308
OG0000689	NC_008785.1_2908	NC_005125.1_4396	NC_009662.1_1272	NC_008740.1_3968	NC_017382.1_1073	NC_000911.1_164	NC_010617.1_954	NC_008048.1_2307
OG0000690	NC_008785.1_2909	NC_005125.1_2965	NC_009662.1_1273	NC_008740.1_3969	NC_017382.1_1074	NC_000911.1_165	NC_010617.1_953	NC_008048.1_2306
OG0000691	NC_008785.1_2910	NC_005125.1_2966	NC_009662.1_1274	NC_008740.1_3970	NC_017382.1_1075	NC_000911.1_166	NC_010617.1_952	NC_008048.1_2305
OG0000692	NC_008785.1_2918	NC_005125.1_727	NC_009662.1_368	NC_008740.1_3977	NC_017382.1_387	NC_000911.1_2692	NC_010617.1_2309	NC_008048.1_2880
OG0000701	NC_008784.1_504	NC_005125.1_3619	NC_009662.1_330	NC_008740.1_3603	NC_017382.1_1457	NC_000911.1_1636	NC_010617.1_1137	NC_008048.1_3149
OG0000702	NC_008784.1_507	NC_005125.1_908	NC_009662.1_682	NC_008740.1_3606	NC_017382.1_1220	NC_000911.1_2419	NC_010617.1_2026	NC_008048.1_837
OG0000703	NC_008784.1_508	NC_005125.1_2849	NC_009662.1_886	NC_008740.1_3607	NC_017382.1_1219	NC_000911.1_1132	NC_010617.1_1248	NC_008048.1_836
OG0000704	NC_008784.1_518	NC_005125.1_3299	NC_009662.1_738	NC_008740.1_2428	NC_017382.1_772	NC_000911.1_1434	NC_010617.1_698	NC_008048.1_1631
OG0000705	NC_008784.1_533	NC_005125.1_4507	NC_009662.1_110	NC_008740.1_2420	NC_017382.1_86	NC_000911.1_3263	NC_010617.1_939	NC_008048.1_2737
OG0000706	NC_008784.1_633	NC_005125.1_161	NC_009662.1_549	NC_008740.1_2279	NC_017382.1_405	NC_000911.1_2651	NC_010617.1_440	NC_008048.1_1821
OG0000707	NC_008784.1_639	NC_005125.1_1531	NC_009662.1_1513	NC_008740.1_2286	NC_017382.1_792	NC_000911.1_1260	NC_010617.1_970	NC_008048.1_1207
OG0000709	NC_008784.1_959	NC_005125.1_1617	NC_009662.1_169	NC_008740.1_3872	NC_017382.1_888	NC_000911.1_2554	NC_010617.1_1888	NC_008048.1_1919
OG0000711	NC_008784.1_1173	NC_005125.1_4363	NC_009662.1_21	NC_008740.1_3633	NC_017382.1_453	NC_000911.1_2935	NC_010617.1_166	NC_008048.1_550
OG0000712	NC_008784.1_1192	NC_005125.1_654	NC_009662.1_1236	NC_008740.1_556	NC_017382.1_1367	NC_000911.1_2907	NC_010617.1_1157	NC_008048.1_624
OG0000713	NC_008784.1_1201	NC_005125.1_198	NC_009662.1_402	NC_008740.1_2501	NC_017382.1_358	NC_000911.1_531	NC_010617.1_1381	NC_008048.1_2377
OG0000714	NC_008784.1_1203	NC_005125.1_1383	NC_009662.1_1729	NC_008740.1_678	NC_017382.1_1510	NC_000911.1_1608	NC_010617.1_648	NC_008048.1_2899
OG0000715	NC_008784.1_1207	NC_005125.1_4163	NC_009662.1_221	NC_008740.1_676	NC_017382.1_10	NC_000911.1_1731	NC_010617.1_1610	NC_008048.1_979
OG0000717	NC_008784.1_1309	NC_005125.1_1039	NC_009662.1_511	NC_008740.1_1610	NC_017382.1_1131	NC_000911.1_3032	NC_010617.1_547	NC_008048.1_2741
OG0000718	NC_008784.1_1311	NC_005125.1_3640	NC_009662.1_1153	NC_008740.1_1608	NC_017382.1_1034	NC_000911.1_775	NC_010617.1_625	NC_008048.1_250
OG0000719	NC_008784.1_1313	NC_005125.1_2811	NC_009662.1_741	NC_008740.1_1606	NC_017382.1_1217	NC_000911.1_2998	NC_010617.1_1150	NC_008048.1_1063
OG0000720	NC_008784.1_1315	NC_005125.1_2660	NC_009662.1_385	NC_008740.1_1605	NC_017382.1_1216	NC_000911.1_306	NC_010617.1_1151	NC_008048.1_1062
OG0000722	NC_008784.1_1389	NC_005125.1_1896	NC_009662.1_340	NC_008740.1_1060	NC_017382.1_1056	NC_000911.1_2451	NC_010617.1_1163	NC_008048.1_276
